station_name,date_time,temperature,precipitation,windspeed,wind_direction,humidity,vapor_pressure,dew_point_temp,local_pressure,sea_level_pressure,sunshine,solar_radiation,snowfall,new_snowfall_3hr,cloud_type,lowest_cloud,visibility,ground_condition,activity_score
창원,2021-09-23 22:00,21.3,,1.1,360.0,65.0,16.4,14.4,1014.8,1018.9,,,,,,,2000.0,,1.860395264073718
서산,2021-02-10 14:00,6.7,,3.3,200.0,68.0,6.7,1.2,1021.1,1024.2,0.1,0.91,,,,,1516.0,,0.550163150669924
남해,2021-06-10 15:00,24.4,,1.3,180.0,74.0,22.5,19.4,1008.1,1013.3,0.2,,,,,6.0,1921.0,,0.3474119302997548
파주,2021-08-10 20:00,22.2,,1.1,50.0,86.0,22.9,19.7,1005.5,1009.0,0.0,,,,,35.0,1848.0,,0.17566821175545977
양평,2021-03-27 00:00,9.6,,0.0,0.0,58.0,6.9,1.7,1013.9,1019.7,,,,,,,1252.0,,0.8147268288232243
전주,2021-05-24 09:00,19.1,,1.7,250.0,62.0,13.7,11.6,1001.7,1008.7,0.1,0.77,,,Ac,42.0,1998.0,,1.7622498816188736
대전,2021-06-25 19:00,27.9,,2.5,360.0,60.0,22.5,19.4,1001.2,1009.1,0.6,0.52,,,,15.0,2968.0,,-0.20777066563163438
동두천,2021-07-21 17:00,32.7,,0.6,70.0,61.0,30.0,24.1,998.0,1010.8,0.2,,,,,17.0,3716.0,,-3.3418828772100686
춘천,2021-03-30 10:00,8.0,,0.5,290.0,47.0,5.0,-2.6,1004.6,1013.8,1.0,2.05,,,,,1650.0,,1.7978118150683764
광주,2021-12-09 04:00,4.1,,0.3,0.0,95.0,7.7,3.3,1022.3,1031.1,,,,,,,995.0,,-3.031589132933239
북춘천,2021-12-05 04:00,-6.3,,0.1,0.0,88.0,3.4,-7.9,1018.7,1031.2,,,,,,,2000.0,,-5.516836795957556
진도군,2021-01-04 23:00,1.3,,0.5,90.0,87.0,5.8,-0.6,1027.3,1028.6,,,0.5,,,17.0,1919.0,,-2.292576434608758
원주,2021-09-11 00:00,21.9,,0.4,0.0,82.0,21.4,18.6,996.5,1013.7,,,,,,,1049.0,,-1.0890706587724033
동두천,2021-06-03 10:00,21.9,,1.4,160.0,75.0,19.6,17.2,992.7,1005.9,0.0,,,,,13.0,5675.0,,2.4723892717341243
해남,2021-01-03 08:00,-2.7,,1.3,340.0,64.0,3.2,-8.5,1032.1,1034.2,0.0,,,,,58.0,1735.0,,-1.8290346501778334
