date,cutlet,udon,shrimp_tempura,croquettes,A_set,B_set,Special_set
2023/04/1,46,64,11,15,40,39,49
2023/04/2,33,46,14,29,40,20,32
2023/04/3,44,70,12,26,47,32,46
2023/04/4,58,55,15,28,47,21,35
2023/04/5,60,43,13,17,47,28,34
2023/04/6,52,55,10,19,39,22,50
2023/04/7,58,45,12,21,30,20,39
2023/04/8,32,54,13,23,39,32,40
2023/04/9,35,51,13,18,50,24,36
2023/04/10,54,69,17,17,45,30,39
2023/04/11,32,56,19,21,48,21,34
2023/04/12,33,62,20,16,34,35,43
2023/04/13,54,50,18,24,30,36,48
2023/04/14,38,55,17,21,32,34,49
2023/04/15,37,64,15,19,50,34,32
2023/04/16,60,65,13,18,49,33,36
2023/04/17,30,41,19,16,43,21,43
2023/04/18,36,68,16,28,47,28,33
2023/04/19,46,54,10,22,34,37,41
2023/04/20,34,55,14,25,41,24,44
